    78;	20200310124224_081;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	44;	3;	3;	1;	156;
    79;	20200310124224_130;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	33;	2;	3;	1;	156;
    80;	20200310124224_180;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	48;	2;	3;	1;	156;
    81;	20200310124224_230;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	37;	3;	3;	1;	156;
    82;	20200310124224_281;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	47;	3;	3;	1;	156;
    83;	20200310124224_330;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	36;	2;	3;	1;	156;
    84;	20200310124224_381;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	58;	3;	3;	1;	157;
    85;	20200310124224_430;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	51;	3;	3;	1;	157;
    86;	20200310124224_480;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	50;	3;	3;	1;	156;
    87;	20200310124224_530;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	49;	3;	3;	1;	157;
    88;	20200310124224_580;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	42;	3;	3;	1;	156;
    89;	20200310124224_630;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	50;	2;	3;	1;	157;
    90;	20200310124224_680;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	37;	3;	3;	1;	156;
    91;	20200310124224_757;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	51;	2;	3;	1;	157;
    92;	20200310124224_806;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	47;	2;	3;	1;	156;
    93;	20200310124224_843;	00003;00186;00186;00023;02790;02877;01026;00737;01030;30873;21214;01455!;	52;	3;	3;	1;	157;
    94;	20200310124224_896;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	54;	3;	3;	1;	156;
    95;	20200310124224_960;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	47;	3;	3;	1;	156;
    96;	20200310124225_003;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	40;	3;	3;	1;	156;
    97;	20200310124225_065;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	53;	3;	3;	1;	156;
    98;	20200310124225_130;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	45;	3;	3;	1;	156;
    99;	20200310124225_303;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	47;	3;	3;	1;	155;
   100;	20200310124225_328;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	59;	2;	3;	1;	155;
   101;	20200310124225_378;	00003;00186;00186;00023;02786;03331;00756;01046;00740;31140;21329;01529!;	40;	3;	3;	1;	155;
   102;	20200310124225_430;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	41;	2;	3;	1;	155;
   103;	20200310124225_501;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	48;	2;	3;	1;	154;
   104;	20200310124225_613;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	49;	3;	3;	1;	154;
